,strain,strain,species,genus,family,order,class,phylum,superkingdom,species group,clade,no rank,subspecies,serotype,subphylum,subkingdom,kingdom,serogroup,species subgroup,subgenus,subclass
Bordetella bronchiseptica MTCC 6837,Bordetella bronchiseptica MTCC 6837,Bordetella pertussis 2356847,Bordetella pertussis,Bordetella,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Klebsiella aerogenes MTCC 111,Klebsiella aerogenes MTCC 111,,Klebsiella aerogenes,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Stenotrophomonas maltophilia MTCC 1890,Stenotrophomonas maltophilia MTCC 1890,Stenotrophomonas maltophilia (strain K279a),Stenotrophomonas maltophilia,Stenotrophomonas,Lysobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,Stenotrophomonas maltophilia group,,,,,,,,,,,
Staphylococcus aureus MTCC 3160,Staphylococcus aureus MTCC 3160,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus haemolyticus MTCC 3383,Staphylococcus haemolyticus MTCC 3383,Staphylococcus haemolyticus (strain JCSC1435),Staphylococcus haemolyticus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Enterococcus faecalis MTCC 439,Enterococcus faecalis MTCC 439,Enterococcus faecalis EnGen0207,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Corynebacterium glutamicum MTCC 2679,Corynebacterium glutamicum MTCC 2679,Corynebacterium glutamicum (strain R),Corynebacterium glutamicum,Corynebacterium,Corynebacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,Bacteria,,Terrabacteria group,,,,,,,,,,
Alkalihalobacillus alcalophilus MTCC 860,Alkalihalobacillus alcalophilus MTCC 860,,Alkalihalobacillus alcalophilus,Alkalihalobacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli CCT 1457,Escherichia coli CCT 1457,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Escherichia coli ATCC 11775,Escherichia coli ATCC 11775,Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa ATCC 15422,Pseudomonas aeruginosa ATCC 15422,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Salmonella enterica subsp. enterica serovar Choleraesuis ATCC 10708,Salmonella enterica subsp. enterica serovar Choleraesuis ATCC 10708,Salmonella enterica subsp. enterica serovar Choleraesuis str. ATCC 10708,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella enterica subsp. enterica serovar Choleraesuis,Salmonella enterica I,,,,,,,,
Staphylococcus aureus CCT 2580,Staphylococcus aureus CCT 2580,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus CCT 6538,Staphylococcus aureus CCT 6538,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Micrococcus luteus ATCC 4698,Micrococcus luteus ATCC 4698,Micrococcus luteus (strain ATCC 4698 / DSM 20030 / JCM 1464 / CCM 169 / CCUG 5858 / IAM 1056 / NBRC 3333 / NCIMB 9278 / NCTC 2665 / VKM Ac-2230),Micrococcus luteus,Micrococcus,Micrococcaceae,Micrococcales,Actinomycetes,Actinomycetota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus NCTC 8325,Staphylococcus aureus NCTC 8325,Staphylococcus aureus (strain NCTC 8325 / PS 47),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Pseudomonas aeruginosa 910,Pseudomonas aeruginosa 910,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas aeruginosa 919,Pseudomonas aeruginosa 919,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas aeruginosa 253,Pseudomonas aeruginosa 253,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Bacillus subtilis KCTC 1998,Bacillus subtilis KCTC 1998,Bacillus subtilis (strain 168),Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus subtilis group,Terrabacteria group,,Bacillus subtilis subsp. subtilis,,,,,,,,
Staphylococcus aureus CCARM 3518,Staphylococcus aureus CCARM 3518,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus CCARM 3090,Staphylococcus aureus CCARM 3090,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli CCARM 1238,Escherichia coli CCARM 1238,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa 4007,Pseudomonas aeruginosa 4007,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas aeruginosa 4891,Pseudomonas aeruginosa 4891,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Candida albicans ATCC 90028,Candida albicans ATCC 90028,Candida albicans (strain SC5314 / ATCC MYA-2876),Candida albicans,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Eukaryota,,Opisthokonta,,,,Saccharomycotina,Dikarya,Fungi,,,,
Acinetobacter baumannii NM8,Acinetobacter baumannii NM8,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Acinetobacter baumannii NM35,Acinetobacter baumannii NM35,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Listeria monocytogenes EGD,Listeria monocytogenes EGD,Listeria monocytogenes serotype 1/2a (strain EGD / Mackaness),Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Streptococcus mutans UA159,Streptococcus mutans UA159,Streptococcus mutans serotype c (strain ATCC 700610 / UA159),Streptococcus mutans,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Streptococcus sanguinis NY101,Streptococcus sanguinis NY101,Streptococcus sanguinis SK1 = NCTC 7863,Streptococcus sanguinis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Streptococcus mitis ATCC 903,Streptococcus mitis ATCC 903,Streptococcus parasanguinis ATCC 903,Streptococcus parasanguinis,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Streptococcus gordonii Challis DL1,Streptococcus gordonii Challis DL1,Streptococcus gordonii str. Challis,Streptococcus gordonii,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,Streptococcus gordonii (strain Challis / ATCC 35105 / BCRC 15272 / CH1 / DL1 / V288),,,,,,,,,
Pseudomonas aeruginosa PAK,Pseudomonas aeruginosa PAK,Pseudomonas aeruginosa (strain PAK),Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia (strain K279a),Stenotrophomonas maltophilia,Stenotrophomonas,Lysobacteraceae,Lysobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,Stenotrophomonas maltophilia group,,,,,,,,,,,
Proteus mirabilis ATCC 25933,Proteus mirabilis ATCC 25933,Proteus mirabilis (strain HI4320),Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Staphylococcus epidermidis RP62A,Staphylococcus epidermidis RP62A,Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A),Staphylococcus epidermidis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus epidermidis RP62A/1,Staphylococcus epidermidis RP62A/1,Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A),Staphylococcus epidermidis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Pseudomonas aeruginosa PA214,Pseudomonas aeruginosa PA214,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Salmonella enterica subsp. enterica serovar Typhi,Salmonella enterica subsp. enterica serovar Typhi,Salmonella enterica subsp. enterica serovar Typhi str. CT18,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella typhi,Salmonella enterica I,,,,,,,,
Yersinia enterocolitica,Yersinia enterocolitica,Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081),Yersinia enterocolitica,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,Yersinia enterocolitica subsp. enterocolitica,,,,,,,,
Salmonella sp.,Salmonella sp.,,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella enterica subsp. enterica serovar Indiana,Salmonella enterica I,,,,,,,,
Candida albicans NCTC 1467,Candida albicans NCTC 1467,Candida albicans (strain SC5314 / ATCC MYA-2876),Candida albicans,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Eukaryota,,Opisthokonta,,,,Saccharomycotina,Dikarya,Fungi,,,,
Escherichia coli ATCC 700926,Escherichia coli ATCC 700926,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Escherichia coli DC2,Escherichia coli DC2,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Yersinia ruckeri 392/2003,Yersinia ruckeri 392/2003,,Yersinia ruckeri,Yersinia,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Salmonella enterica subsp. enterica serovar Typhimurium LT2,Salmonella enterica subsp. enterica serovar Typhimurium LT2,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella typhimurium,Salmonella enterica I,,,,,,,,
Listeria monocytogenes N22-2,Listeria monocytogenes N22-2,Listeria monocytogenes serotype 1/2a (strain 10403S),Listeria monocytogenes,Listeria,Listeriaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Mycobacterium tuberculosis,Mycobacterium tuberculosis,Mycobacterium tuberculosis (strain ATCC 25177 / H37Ra),Mycobacterium tuberculosis,Mycobacterium,Mycobacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,Bacteria,Mycobacterium tuberculosis complex,Terrabacteria group,,,,,,,,,,
Mycobacterium avium,Mycobacterium avium,,Mycobacterium avium complex sp.,Mycobacterium,Mycobacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,Bacteria,Mycobacterium avium complex (MAC),Terrabacteria group,unclassified Mycobacterium avium complex (MAC),,,,,,,,,
Escherichia coli ATCC BAA-2340,Escherichia coli ATCC BAA-2340,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa B004 V2S2B,Pseudomonas aeruginosa B004 V2S2B,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Corynebacterium xerosis C875,Corynebacterium xerosis C875,Corynebacterium xerosis NBRC 16721 = ATCC 373,Corynebacterium xerosis,Corynebacterium,Corynebacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,Bacteria,,Terrabacteria group,,,,,,,,,,
Nocardia asteroides,Nocardia asteroides,Nocardia asteroides NBRC 15531,Nocardia asteroides,Nocardia,Nocardiaceae,Mycobacteriales,Actinomycetes,Actinomycetota,Bacteria,,Terrabacteria group,,,,,,,,,,
Salmonella enterica subsp. enterica serovar Paratyphi A,Salmonella enterica subsp. enterica serovar Paratyphi A,Salmonella paratyphi A (strain AKU_12601),Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella paratyphi A,Salmonella enterica I,,,,,,,,
Staphylococcus epidermidis ATCC 35984,Staphylococcus epidermidis ATCC 35984,Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A),Staphylococcus epidermidis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Enterococcus faecalis PCM 2673,Enterococcus faecalis PCM 2673,Enterococcus faecalis EnGen0207,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli DSM 1103,Escherichia coli DSM 1103,Escherichia coli (strain ATCC 25922 / DSM 1103 / LMG 8223 / NCIMB 12210 / NCTC 12241 / WDCM 00013 / Seattle 1946),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Pseudomonas aeruginosa DSM 1117,Pseudomonas aeruginosa DSM 1117,,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Staphylococcus aureus DSM 1104,Staphylococcus aureus DSM 1104,,Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Enterococcus faecalis DSM 2570,Enterococcus faecalis DSM 2570,,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus epidermidis ATCC 51625,Staphylococcus epidermidis ATCC 51625,Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A),Staphylococcus epidermidis,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus ATCC 12493,Staphylococcus aureus ATCC 12493,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Candida albicans NCPF 1467,Candida albicans NCPF 1467,Candida albicans (strain SC5314 / ATCC MYA-2876),Candida albicans,Candida,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Eukaryota,,Opisthokonta,,,,Saccharomycotina,Dikarya,Fungi,,,,
Escherichia coli JW0013,Escherichia coli JW0013,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Escherichia coli MC1061,Escherichia coli MC1061,Escherichia coli (strain K12),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Escherichia coli MC1061,,,,,,,,,
Escherichia coli J2210,Escherichia coli J2210,Escherichia coli (strain ATCC 55124 / KO11FL),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Salmonella enterica subsp. enterica serovar Enteritidis MH91989,Salmonella enterica subsp. enterica serovar Enteritidis MH91989,Salmonella enterica subsp. enterica serovar Enteritidis str. 78296,Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella enteritidis,Salmonella enterica I,,,,,,,,
Salmonella typhimurium SL1344,Salmonella typhimurium SL1344,Salmonella typhimurium (strain SL1344),Salmonella enterica,Salmonella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Salmonella typhimurium,Salmonella enterica I,,,,,,,,
Acinetobacter baumannii 9931,Acinetobacter baumannii 9931,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Acinetobacter baumannii 97830,Acinetobacter baumannii 97830,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Pseudomonas aeruginosa 50,Pseudomonas aeruginosa 50,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas aeruginosa 73,Pseudomonas aeruginosa 73,Pseudomonas aeruginosa ADL-320,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Staphylococcus aureus 75,Staphylococcus aureus 75,,Staphylococcus argenteus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus 113,Staphylococcus aureus 113,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus ATCC 29231,Staphylococcus aureus ATCC 29231,Staphylococcus aureus (strain TW20 / 0582),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus MW2,Staphylococcus aureus MW2,Staphylococcus aureus (strain MW2),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Klebsiella pneumoniae WGLW2,Klebsiella pneumoniae WGLW2,Klebsiella pneumoniae subsp. pneumoniae WGLW2,Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,Klebsiella pneumoniae subsp. pneumoniae,,,,,,,,
Acinetobacter baumannii ATCC 7978,Acinetobacter baumannii ATCC 7978,Acinetobacter baumannii (strain ACICU),Acinetobacter baumannii,Acinetobacter,Moraxellaceae,Moraxellales,Gammaproteobacteria,Pseudomonadota,Bacteria,Acinetobacter calcoaceticus/baumannii complex,,,,,,,,,,,
Klebsiella aerogenes ATCC 13048,Klebsiella aerogenes ATCC 13048,Klebsiella aerogenes (strain ATCC 13048 / DSM 30053 / CCUG 1429 / JCM 1235 / KCTC 2190 / NBRC 13534 / NCIMB 10102 / NCTC 10006 / CDC 819-56),Klebsiella aerogenes,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Mycobacterium smegmatis mc2-155,Mycobacterium smegmatis mc2-155,Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155),Mycolicibacterium smegmatis,Mycolicibacterium,Mycobacteriaceae,Mycobacteriales,Actinomycetes,Actinomycetota,Bacteria,,Terrabacteria group,,,,,,,,,,
Staphylococcus aureus MR,Staphylococcus aureus MR,Staphylococcus aureus (strain USA300),Staphylococcus aureus,Staphylococcus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,Staphylococcus aureus (strain USA300 / TCH1516),,,,,,,,,
Bacillus cereus ATCC 10876,Bacillus cereus ATCC 10876,Bacillus cereus ATCC 10876,Bacillus cereus,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus cereus group,Terrabacteria group,,,,,,,,,,
Pseudomonas aeruginosa CMCC 10104,Pseudomonas aeruginosa CMCC 10104,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Bacillus subtilis BNCC 109047 ,Bacillus subtilis BNCC 109047 ,Bacillus subtilis (strain 168),Bacillus subtilis,Bacillus,Bacillaceae,Bacillales,Bacilli,Bacillota,Bacteria,Bacillus subtilis group,Terrabacteria group,,Bacillus subtilis subsp. subtilis,,,,,,,,
Klebsiella aerogenes CGMCC 1.876,Klebsiella aerogenes CGMCC 1.876,,Klebsiella aerogenes,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Enterobacter cloacae CGMCC 1.58,Enterobacter cloacae CGMCC 1.58,Enterobacter hormaechei subsp. hoffmannii ECR091,Enterobacter hormaechei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,Enterobacter cloacae complex,,,Enterobacter hormaechei subsp. hoffmannii,,,,,,,,
Klebsiella pneumoniae subsp. pneumoniae CGMCC 1.176,Klebsiella pneumoniae subsp. pneumoniae CGMCC 1.176,Klebsiella pneumoniae (strain 342),Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Proteus mirabilis CICC 22931,Proteus mirabilis CICC 22931,Proteus mirabilis (strain HI4320),Proteus mirabilis,Proteus,Morganellaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Klebsiella pneumoniae NCTC 5056,Klebsiella pneumoniae NCTC 5056,Klebsiella pneumoniae (strain 342),Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Aeromonas hydrophila,Aeromonas hydrophila,Aeromonas hydrophila E1,Aeromonas hydrophila,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Vibrio alginolyticus,Vibrio alginolyticus,Vibrio alginolyticus 40B,Vibrio alginolyticus,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,Pseudomonadota,Bacteria,Vibrio harveyi group,,,,,,,,,,,
Enterococcus faecalis ATCC 51299,Enterococcus faecalis ATCC 51299,Enterococcus faecalis EnGen0207,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria,,Terrabacteria group,,,,,,,,,,
Escherichia coli 170,Escherichia coli 170,Escherichia coli HVH 170 (4-3026949),Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,,,,,,,,,,
Enterobacter cloacae 2524,Enterobacter cloacae 2524,Enterobacter hormaechei subsp. hoffmannii ECR091,Enterobacter hormaechei,Enterobacter,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,Enterobacter cloacae complex,,,Enterobacter hormaechei subsp. hoffmannii,,,,,,,,
Klebsiella pneumoniae 913,Klebsiella pneumoniae 913,Klebsiella pneumoniae (strain 342),Klebsiella pneumoniae,Klebsiella,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria,,,Klebsiella/Raoultella group,,,,,,,,,
Pseudomonas aeruginosa 4677,Pseudomonas aeruginosa 4677,Pseudomonas aeruginosa HB13,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
Pseudomonas aeruginosa 213,Pseudomonas aeruginosa 213,Pseudomonas aeruginosa ADL-213,Pseudomonas aeruginosa,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria,Pseudomonas aeruginosa group,,,,,,,,,,,
